Kecamatan,Kelurahan,Kode Pos
13.71.05,Bungus Teluk Kabung,6,"Bungus Barat
Bungus Selatan
Bungus Timur
Teluk Kabung Selatan
Teluk Kabung Tengah
Teluk Kabung Utara"
13.71.11,Koto Tangah,13,"Air Pacah
Balai Gadang
Batang Kabung Ganting
Batipuh Panjang
Bungo Pasang
Dadok Tunggul Hitam
Koto Panjang Ikua Koto
Koto Pulai
Lubuk Buaya
Lubuk Minturun
Padang Sarai
Parupuk Tabing
Pasir Nan Tigo"
13.71.09,Kuranji,9,"Ampang
Anduring
Gunung Sarik
Kalumbuk
Korong Gadang
Kuranji
Lubuk Lintah
Pasar Ambacang
Sungai Sapih"
13.71.06,Lubuk Begalung,15,"Banuaran Nan XX
Batung Taba Nan XX
Cengkeh Nan XX
Gates Nan XX
Gurun Laweh Nan XX
Kampung Baru Nan XX
Kampung Jua Nan XX
Koto Baru Nan XX
Lubuk Begalung Nan XX
Pagambiran Ampalu Nan XX
Pampangan Nan XX
Parak Laweh Pulau Air Nan XX
Pitameh Tanjung Saba Nan XX
Tanah Sirah Piai Nan XX
Tanjung Aur Nan XX"
13.71.07,Lubuk Kilangan,7,"Bandar Buat
Batu Gadang
Beringin
Indarung
Koto Lalang
Padang Besi
Tarantang"
13.71.10,Nanggalo,6,"Gurun Laweh
Kampung Lapai
Kampung Olo
Kurao Pagang
Surau Gadang
Tabing Banda Gadang"
13.71.03,Padang Barat,10,"Belakang Tangsi
Berok Nipah
Flamboyan Baru
Kampung Jao
Kampung Pondok
Olo
Padang Pasir
Purus
Rimbo Kaluang
Ujung Gurun"
13.71.01,Padang Selatan,12,"Air Manis
Alang Laweh
Batang Arau
Belakang Pondok
Bukit Gado-Gado
Mato Aie
Pasa Gadang
Ranah Parak Rumbio
Rawang
Seberang Padang
Seberang Palinggam
Teluk Bayur"
13.71.02,Padang Timur,10,"Andalas
Ganting Parak Gadang
Jati
Jati Baru
Kubu Dalam Parak Karakah
Kubu Marapalam
Parak Gadang Timur
Sawahan
Sawahan Timur
Simpang Haru"
13.71.04,Padang Utara,7,"Air Tawar Barat
Air Tawar Timur
Alai Parak Kopi
Gunung Pangilun
Lolong Belanti
Ulak Karang Selatan
Ulak Karang Utara"
13.71.08,Pauh,9,"Binuang Kampuang Dalam
Cupak Tangah
Kapalo Koto
Koto Luar
Lambung Bukit
Limau Manis
Limau Manis Selatan
Piai Tangah
Pisang"
